"v1","v2","v3","v4","v5"
108,-1,0.437332079163073,0.439126035198569,4
109,-1,-0.642784278613871,0.116726735373959,2
111,-1,0.891883220557739,0.158538695657626,2
112,-1,-0.0890087000730499,0.216536281863227,1
115,-1,0.461687075822696,0.548990170937032,1
117,-1,0.471730233724218,0.691945982864127,1
124,-1,0.746606051481751,0.169238978298381,3
143,-1,0.0702588608724181,0.935582520440221,1
171,-1,0.428132269444687,0.85307893413119,4
179,-1,-0.55715636855073,0.000424127792939544,4
180,-1,-2.17338254785377,0.635965416673571,3
181,-1,0.936154259243359,0.0461668882053345,2
182,-1,0.0704292096271274,0.315564151853323,5
183,-1,-0.809102873245837,0.516907881014049,2
184,-1,-0.916059519509019,0.186276467051357,5
191,-1,-0.0611797974767041,0.409703097073361,1
192,-1,-1.88193297880601,0.633109040092677,4
200,-1,1.26899915864648,0.200471089454368,4
201,-1,-0.230947422716418,0.771862354828045,3
202,-1,0.0849678922434273,0.83440970396623,4
215,-1,0.429591831137476,0.412833998445421,2
216,-1,-1.65775076771501,0.661747148260474,3
217,-1,1.63215881326579,0.105698693078011,3
221,-1,1.72387456056887,0.421877833781764,2
275,-1,-1.57449711394856,0.711651522666216,4
276,-1,-1.26676788042923,0.529708224581555,5
277,-1,0.309272206782858,0.226050210883841,1
278,-1,0.733603489858819,0.892312339739874,2
279,-1,-2.6381572318086,0.407824333524331,1
280,-1,2.55197203166135,0.675432881340384,2
281,-1,-0.95124796569129,0.325877969153225,4
282,-1,-0.248479372941319,0.202933007851243,4
283,-1,-0.0406881205101021,0.802358865272254,5
284,-1,-0.398490471846819,0.984551183180884,2
285,-1,-0.630675545844059,0.851140831364319,1
286,-1,0.0562216773777784,0.611612038686872,3
291,-1,1.42233148790096,0.746560317697003,5
292,-1,1.33707705112016,0.825258798431605,1
293,-1,-1.35716901815309,0.553554959595203,2
110,-2,-0.489283726728961,0.0580903799273074,5
117,-2,1.74382898245475,0.111545865191147,4
118,-2,1.55173083652324,0.0242694793269038,4
129,-2,-1.02038672905355,0.234636583831161,3
130,-2,1.86345273917072,0.611805399181321,2
131,-2,-0.982660639729565,0.65769217745401,1
132,-2,-0.628163656527314,0.987195671536028,4
141,-2,0.201231672817771,0.949676838237792,1
142,-2,-0.191308560236068,0.921850823331624,5
143,-2,-1.87483100549287,0.309943431522697,2
144,-2,-1.22879342112491,0.41260237339884,4
172,-2,0.819352400125067,0.96399625367485,2
179,-2,-2.53705118744872,0.0520198259036988,2
180,-2,0.446756555341712,0.8746918507386,4
181,-2,-1.42150267660051,0.866538006579503,3
182,-2,-0.157720779641765,0.553689138265327,2
183,-2,-0.0378629507805657,0.391189907444641,4
189,-2,1.2545223354215,0.978735618293285,3
190,-2,-0.471992807900692,0.131807558005676,2
191,-2,-0.543791518525734,0.279546771664172,3
192,-2,0.84202992586467,0.579536797478795,2
200,-2,-0.397512273945224,0.0300282016396523,3
201,-2,0.490873104387214,0.916457216022536,5
202,-2,1.02986937117261,0.369992634514347,4
204,-2,-0.742336173897072,0.312545188469812,3
210,-2,0.748520223498826,0.00655921874567866,4
215,-2,-0.369223050961594,0.681387282209471,5
216,-2,0.475246295435334,0.985481184441596,4
217,-2,-0.424877621240791,0.0995171484537423,2
218,-2,1.63999156503918,0.544397095916793,3
221,-2,1.00576281999863,0.218043110566214,3
227,-2,-0.194290883362495,0.103363238507882,4
228,-2,-2.63392040087345,0.765009538270533,2
229,-2,1.29021721283904,0.456441956106573,2
275,-2,-0.181742974164195,0.412304709898308,1
276,-2,-1.33486962071789,0.575930550927296,5
277,-2,0.118438527605872,0.362879980588332,1
278,-2,0.0214367050481476,0.897250153589994,2
279,-2,-0.459485627191494,0.922775992192328,2
280,-2,1.02916728376905,0.184016519924626,1
283,-2,-0.840093919173065,0.444718056125566,5
284,-2,0.182458042532446,0.646924969973043,1
285,-2,-1.25514209702667,0.381090709473938,4
286,-2,0.375841778978792,0.141181431012228,5
108,-3,0.317336108376773,0.245970548130572,4
115,-3,-1.48114357249549,0.242875669617206,4
116,-3,-0.368364517642981,0.553169058403,2
117,-3,0.691049564694023,0.890743684023619,4
118,-3,1.20029445464933,0.646659866208211,4
119,-3,0.547214752831438,0.660138026811182,4
121,-3,-0.350190447683565,0.284159611677751,2
122,-3,2.20023847840029,0.0385624112095684,5
123,-3,-0.468121702278836,0.815076275030151,4
124,-3,-1.15712645061381,0.232895748922601,5
127,-3,-0.668499712171342,0.463997465325519,1
128,-3,1.3465003787089,0.727957089897245,3
129,-3,-0.401895607991856,0.253322119126096,3
130,-3,0.525567192959613,0.730043842457235,3
131,-3,1.64155823740255,0.966212193015963,2
132,-3,-0.339663296152943,0.13091695215553,4
137,-3,-0.653210250007749,0.556663590483367,1
139,-3,-0.48991119493716,0.903919294010848,3
140,-3,2.80216089605463,0.637490116525441,3
141,-3,-0.776270775245074,0.244051676243544,5
142,-3,0.319638993452885,0.543474965263158,4
143,-3,0.881039288394281,0.766801149817184,4
144,-3,-1.13354222026815,0.825682236347347,4
170,-3,0.424104461698053,0.652910649310797,1
172,-3,0.954328469072376,0.918456223094836,4
178,-3,-0.0188344692007226,0.107014521956444,1
183,-3,-0.797317733525216,0.375042936764657,5
185,-3,-0.194002083549795,0.867095315596089,1
186,-3,0.36858349507726,0.992380178067833,3
187,-3,-0.504698006739927,0.516107738250867,4
188,-3,0.693274564712351,0.813010358950123,4
189,-3,-0.249961965696045,0.103739526355639,4
190,-3,-0.656194768797264,0.55869886954315,5
191,-3,1.500783849659,0.724327901843935,5
192,-3,-1.44956104212849,0.551573126576841,2
193,-3,0.321623247233901,0.131728026783094,2
194,-3,-0.263388281550438,0.11710640694946,3
199,-3,-0.107180510122984,0.510262691881508,1
200,-3,-0.101721386235634,0.412855562288314,4
201,-3,-0.816716043671703,0.955705205909908,2
202,-3,-0.635309797406451,0.827548241242766,5
203,-3,-0.511268802344212,0.839321586303413,5
204,-3,0.943912514607942,0.451474680798128,2
206,-3,0.969908826597275,0.578455583658069,2
207,-3,0.771317478176237,0.599984766449779,3
208,-3,0.921733611960978,0.0657020504586399,4
